Name,Usage,Lat,Lon
台北市同德路85巷,1,25.0462812,121.5856922
台北市向陽路,0.5,25.0545379,121.5941467
台北市向陽路162巷,0.56,25.0563448,121.5962847
台北市安西街,1,25.0606603,121.5099011
台北市安和路2段171巷,0.71,25.0280145,121.5498822
台北市安和路一段A,0.89,25.0371693,121.5515915
台北市安和路一段B,1,25.0371693,121.5515915
台北市安和路二段,0.88,25.0293407,121.5512539
台北市安和路二段74巷,1,25.0302281,121.5515249
台北市安居街,1,25.0197551,121.5535521
台北市安東街,0.67,25.044397,121.542485
台北市安東街16巷,0.48,25.0452938,121.5408605
台北市安東街40巷,0.83,25.0441183,121.5409852
台北市安泰街38巷,0.73,25.0734478,121.6174992
台北市成功路1段36巷,0.77,25.0565159,121.5918462
台北市成功路2段,0.63,25.0689959,121.5914174
台北市成功路2段250巷23弄,1,25.066611,121.5897293
台北市成功路2段273巷,1,25.0685864,121.5911894
台北市成功路2段317巷,0.64,25.0699686,121.5913842
台北市成功路2段317巷50弄,0.67,25.0701885,121.5915963
台北市成功路2段320巷,0.7,25.0676087,121.5891788
台北市成功路2段320巷31弄,1,25.068224,121.5891904
台北市成功路2段323巷,0.92,25.0704314,121.5909636
台北市成功路2段426巷,0.6,25.0708436,121.5888701
台北市成功路3段,0.35,25.0784747,121.5897126
台北市成功路4段167巷,0.83,25.0827394,121.5951775
台北市成功路4段182巷6弄,1,25.083421,121.5930919
台北市成功路4段61巷,1,25.0808817,121.5932665
台北市成功路4段61巷32弄,0.57,25.0811404,121.5942151
台北市成功路4段61巷8弄,1,25.0818309,121.5930512
台北市成功路5段420巷,0.93,25.0752651,121.6085467
台北市成功路5段420巷23弄,0.74,25.0732111,121.6085553
台北市成功路5段450巷,0.5,25.074332,121.6076564
台北市成功路5段450巷21弄,0.59,25.0735231,121.6074876
台北市成功路5段450巷22弄,0.82,25.075081,121.6078761
台北市成功路二段193巷,0.67,25.0665117,121.5913023
台北市成功路三段,0.4,25.0784747,121.5897126
台北市成功路五段,0.42,25.0789255,121.6070972
台北市成功路四段,0.7,25.0840481,121.5952207
台北市成都路A,0.62,25.04313,121.5044273
台北市成都路B,0.09,25.04313,121.5044273
台北市成福路,0.43,25.0408418,121.5884439
台北市成福路178巷,1,25.0416107,121.5867479
台北市成福路211巷,0.21,25.0408418,121.5884439
台北市成福路269巷,0.25,25.0374493,121.5918391
台北市朱崙街,0.9,25.049997,121.5404454
台北市江南街65巷,0.82,25.0770602,121.5784657
台北市江南街71巷65弄,1,25.0760925,121.5787734
台北市至誠公園,0,25.1013225,121.5363991
台北市至誠路一段,0,25.101727,121.5325304
台北市至誠路二段,0,25.1016704,121.5285808
台北市行忠路,0.65,25.0665373,121.5802662
